,y_true,y_pred,dates
5797,68.0,47.346127,2018-01-07
5798,85.0,44.07525,2018-01-14
5799,90.0,44.318203,2018-01-21
5800,92.0,45.683468,2018-01-28
5801,97.0,55.767696,2018-02-04
5802,98.0,55.83149,2018-02-11
5803,96.0,55.863422,2018-02-18
5804,102.0,55.86531,2018-02-25
5805,74.0,47.252388,2018-03-04
5806,73.0,47.031647,2018-03-11
5807,79.0,47.08432,2018-03-18
5808,89.0,47.103573,2018-03-25
5809,80.0,62.665787,2018-04-01
5810,62.0,62.338726,2018-04-08
5811,74.0,61.234184,2018-04-15
5812,65.0,61.603924,2018-04-22
5813,93.0,67.22026,2018-04-29
5814,51.0,67.920395,2018-05-06
5815,87.0,66.78678,2018-05-13
5816,62.0,67.64121,2018-05-20
5817,42.0,61.811256,2018-05-27
5818,41.0,61.614426,2018-06-03
5819,41.0,61.233906,2018-06-10
5820,64.0,60.905117,2018-06-17
5821,65.0,63.40456,2018-06-24
5822,43.0,63.84068,2018-07-01
5823,33.0,63.153294,2018-07-08
5824,27.0,62.454624,2018-07-15
5825,58.0,52.704067,2018-07-22
5826,67.0,54.44396,2018-07-29
5827,112.0,55.4748,2018-08-05
5828,111.0,57.766415,2018-08-12
