,y_true,y_pred,dates
3631,37.0,31.63719,2018-01-07
3632,57.0,49.93071,2018-01-14
3633,49.0,46.982445,2018-01-21
3634,81.0,38.041046,2018-01-28
3635,64.0,58.233524,2018-02-04
3636,80.0,58.854824,2018-02-11
3637,96.0,57.755962,2018-02-18
3638,43.0,57.43257,2018-02-25
3639,79.0,69.79612,2018-03-04
3640,63.0,73.95742,2018-03-11
3641,57.0,69.68051,2018-03-18
3642,62.0,69.98839,2018-03-25
3643,58.0,56.50165,2018-04-01
3644,56.0,60.70798,2018-04-08
3645,52.0,60.384567,2018-04-15
3646,68.0,61.02517,2018-04-22
3647,94.0,63.377705,2018-04-29
3648,111.0,62.88752,2018-05-06
3649,64.0,61.15686,2018-05-13
3650,78.0,66.20906,2018-05-20
3651,57.0,62.602306,2018-05-27
3652,31.0,61.178505,2018-06-03
3653,48.0,64.6843,2018-06-10
3654,44.0,60.286346,2018-06-17
3655,32.0,58.92719,2018-06-24
3656,68.0,57.93703,2018-07-01
3657,39.0,55.953842,2018-07-08
3658,20.0,59.15436,2018-07-15
3659,45.0,41.582035,2018-07-22
3660,49.0,47.08008,2018-07-29
3661,55.0,53.072838,2018-08-05
3662,57.0,54.48443,2018-08-12
