,y_true,y_pred,dates
3385,147.0,70.38992,2018-01-07
3386,155.0,79.940544,2018-01-14
3387,172.0,78.46591,2018-01-21
3388,132.0,82.002495,2018-01-28
3389,85.0,90.69488,2018-02-04
3390,73.0,92.64788,2018-02-11
3391,126.0,96.09649,2018-02-18
3392,131.0,95.6378,2018-02-25
3393,151.0,84.762276,2018-03-04
3394,161.0,104.62789,2018-03-11
3395,118.0,99.51702,2018-03-18
3396,140.0,106.94394,2018-03-25
3397,133.0,84.92384,2018-04-01
3398,143.0,86.03686,2018-04-08
3399,130.0,86.34204,2018-04-15
3400,121.0,86.88245,2018-04-22
3401,193.0,110.81041,2018-04-29
3402,135.0,110.64457,2018-05-06
3403,203.0,104.849724,2018-05-13
3404,171.0,110.017204,2018-05-20
3405,89.0,107.66007,2018-05-27
3406,87.0,113.985344,2018-06-03
3407,74.0,98.804695,2018-06-10
3408,97.0,129.4537,2018-06-17
3409,88.0,125.8129,2018-06-24
3410,127.0,124.40347,2018-07-01
3411,96.0,114.24062,2018-07-08
3412,41.0,118.15845,2018-07-15
3413,115.0,112.39759,2018-07-22
3414,130.0,120.52947,2018-07-29
3415,163.0,121.13488,2018-08-05
3416,143.0,121.18149,2018-08-12
