,y_true,y_pred,dates
3731,114.0,65.13331,2018-01-07
3732,147.0,65.980286,2018-01-14
3733,157.0,66.51015,2018-01-21
3734,172.0,66.6747,2018-01-28
3735,141.0,82.320145,2018-02-04
3736,151.0,82.92857,2018-02-11
3737,174.0,83.0138,2018-02-18
3738,171.0,82.96797,2018-02-25
3739,207.0,86.54426,2018-03-04
3740,184.0,86.64714,2018-03-11
3741,144.0,86.078964,2018-03-18
3742,142.0,85.555855,2018-03-25
3743,134.0,95.54891,2018-04-01
3744,155.0,94.56966,2018-04-08
3745,159.0,95.503296,2018-04-15
3746,109.0,95.94263,2018-04-22
3747,236.0,141.60556,2018-04-29
3748,227.0,143.87805,2018-05-06
3749,269.0,144.98242,2018-05-13
3750,171.0,146.95737,2018-05-20
3751,110.0,128.4093,2018-05-27
3752,113.0,126.30774,2018-06-03
3753,196.0,125.46716,2018-06-10
3754,227.0,127.64685,2018-06-17
3755,231.0,154.67415,2018-06-24
3756,197.0,157.9381,2018-07-01
3757,189.0,155.82814,2018-07-08
3758,140.0,154.07272,2018-07-15
3759,219.0,152.844,2018-07-22
3760,191.0,156.2431,2018-07-29
3761,243.0,155.85796,2018-08-05
3762,277.0,158.80751,2018-08-12
