,y_true,y_pred,dates
5539,93.0,96.53413,2018-01-07
5540,161.0,102.571014,2018-01-14
5541,150.0,108.19398,2018-01-21
5542,157.0,107.83713,2018-01-28
5543,183.0,96.21765,2018-02-04
5544,172.0,98.35506,2018-02-11
5545,153.0,102.24838,2018-02-18
5546,170.0,91.75802,2018-02-25
5547,193.0,95.410324,2018-03-04
5548,193.0,98.48126,2018-03-11
5549,192.0,102.11147,2018-03-18
5550,174.0,100.23284,2018-03-25
5551,148.0,121.60238,2018-04-01
5552,164.0,123.41273,2018-04-08
5553,142.0,118.222336,2018-04-15
5554,100.0,122.51422,2018-04-22
5555,170.0,124.34624,2018-04-29
5556,123.0,134.21062,2018-05-06
5557,156.0,130.73163,2018-05-13
5558,139.0,124.97309,2018-05-20
5559,65.0,144.01695,2018-05-27
5560,83.0,141.98361,2018-06-03
5561,75.0,139.99472,2018-06-10
5562,131.0,135.90822,2018-06-17
5563,112.0,101.01785,2018-06-24
5564,105.0,98.22214,2018-07-01
5565,120.0,89.21895,2018-07-08
5566,67.0,98.31639,2018-07-15
5567,94.0,130.73897,2018-07-22
5568,142.0,137.56105,2018-07-29
5569,152.0,134.69466,2018-08-05
5570,130.0,140.27377,2018-08-12
