,y_true,preds,dates
3631,37,24,2018-01-07
3632,57,24,2018-01-14
3633,49,56,2018-01-21
3634,81,58,2018-01-28
3635,64,73,2018-02-04
3636,80,73,2018-02-11
3637,96,56,2018-02-18
3638,43,49,2018-02-25
3639,79,58,2018-03-04
3640,63,96,2018-03-11
3641,57,58,2018-03-18
3642,62,32,2018-03-25
3643,58,43,2018-04-01
3644,56,249,2018-04-08
3645,52,73,2018-04-15
3646,68,73,2018-04-22
3647,94,52,2018-04-29
3648,111,58,2018-05-06
3649,64,58,2018-05-13
3650,78,58,2018-05-20
3651,57,52,2018-05-27
3652,31,52,2018-06-03
3653,48,52,2018-06-10
3654,44,52,2018-06-17
3655,32,52,2018-06-24
3656,68,31,2018-07-01
3657,39,58,2018-07-08
3658,20,44,2018-07-15
3659,45,57,2018-07-22
3660,49,20,2018-07-29
3661,55,90,2018-08-05
3662,57,48,2018-08-12
