,y_true,preds,dates
3731,114,89,2018-01-07
3732,147,64,2018-01-14
3733,157,6,2018-01-21
3734,172,63,2018-01-28
3735,141,63,2018-02-04
3736,151,114,2018-02-11
3737,174,114,2018-02-18
3738,171,65,2018-02-25
3739,207,171,2018-03-04
3740,184,80,2018-03-11
3741,144,80,2018-03-18
3742,142,80,2018-03-25
3743,134,142,2018-04-01
3744,155,184,2018-04-08
3745,159,79,2018-04-15
3746,109,142,2018-04-22
3747,236,159,2018-04-29
3748,227,109,2018-05-06
3749,269,207,2018-05-13
3750,171,79,2018-05-20
3751,110,227,2018-05-27
3752,113,147,2018-06-03
3753,196,171,2018-06-10
3754,227,171,2018-06-17
3755,231,227,2018-06-24
3756,197,227,2018-07-01
3757,189,227,2018-07-08
3758,140,227,2018-07-15
3759,219,140,2018-07-22
3760,191,171,2018-07-29
3761,243,189,2018-08-05
3762,277,114,2018-08-12
