Category: All categories

Week,General Mills: (Kentucky)
2009-01-11,50
2009-01-18,49
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,48
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,49
2009-04-12,48
2009-04-19,48
2009-04-26,96
2009-05-03,0
2009-05-10,100
2009-05-17,0
2009-05-24,0
2009-05-31,52
2009-06-07,0
2009-06-14,53
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,54
2009-07-19,52
2009-07-26,50
2009-08-02,51
2009-08-09,0
2009-08-16,48
2009-08-23,48
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,42
2009-09-27,44
2009-10-04,90
2009-10-11,43
2009-10-18,0
2009-10-25,0
2009-11-01,41
2009-11-08,0
2009-11-15,0
2009-11-22,0
2009-11-29,0
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,52
2010-01-03,0
2010-01-10,0
2010-01-17,40
2010-01-24,56
2010-01-31,37
2010-02-07,38
2010-02-14,0
2010-02-21,37
2010-02-28,38
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,41
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,39
2010-05-02,0
2010-05-09,0
2010-05-16,0
2010-05-23,90
2010-05-30,0
2010-06-06,47
2010-06-13,0
2010-06-20,46
2010-06-27,46
2010-07-04,91
2010-07-11,0
2010-07-18,42
2010-07-25,43
2010-08-01,43
2010-08-08,0
2010-08-15,0
2010-08-22,81
2010-08-29,0
2010-09-05,41
2010-09-12,39
2010-09-19,38
2010-09-26,38
2010-10-03,39
2010-10-10,0
2010-10-17,75
2010-10-24,37
2010-10-31,36
2010-11-07,37
2010-11-14,36
2010-11-21,41
2010-11-28,34
2010-12-05,0
2010-12-12,36
2010-12-19,45
2010-12-26,83
2011-01-02,24
2011-01-09,23
2011-01-16,0
2011-01-23,0
2011-01-30,0
2011-02-06,0
2011-02-13,23
2011-02-20,0
2011-02-27,22
2011-03-06,22
2011-03-13,24
2011-03-20,0
2011-03-27,22
2011-04-03,0
2011-04-10,0
2011-04-17,23
2011-04-24,0
2011-05-01,22
2011-05-08,0
2011-05-15,23
2011-05-22,0
2011-05-29,39
2011-06-05,25
2011-06-12,0
2011-06-19,0
2011-06-26,0
2011-07-03,26
2011-07-10,0
2011-07-17,23
2011-07-24,46
2011-07-31,23
2011-08-07,0
2011-08-14,22
2011-08-21,22
2011-08-28,22
2011-09-04,22
2011-09-11,43
2011-09-18,0
2011-09-25,21
2011-10-02,22
2011-10-09,0
2011-10-16,20
2011-10-23,19
2011-10-30,0
2011-11-06,0
2011-11-13,17
2011-11-20,17
2011-11-27,21
2011-12-04,14
2011-12-11,0
2011-12-18,15
2011-12-25,14
2012-01-01,14
