,y_true,preds,dates
5997,73,58.96414496350597,2018-01-07
5998,76,66.74955774361904,2018-01-14
5999,74,75.03870620642881,2018-01-21
6000,106,79.00050022849904,2018-01-28
6001,108,110.63918830311648,2018-02-04
6002,79,114.3350829819644,2018-02-11
6003,68,78.17668947629602,2018-02-18
6004,96,61.65371996130558,2018-02-25
6005,106,94.37800829575235,2018-03-04
6006,109,121.0584963135376,2018-03-11
6007,113,120.98777583409093,2018-03-18
6008,105,104.9094418795743,2018-03-25
6009,80,101.14405768271328,2018-04-01
6010,107,76.26728463436248,2018-04-08
6011,81,102.79094142839917,2018-04-15
6012,79,97.62142484812952,2018-04-22
6013,223,74.75733267660618,2018-04-29
6014,199,216.50472557495573,2018-05-06
6015,240,239.03504361847325,2018-05-13
6016,128,247.35014128078382,2018-05-20
6017,61,123.711627228769,2018-05-27
6018,89,23.76457242072616,2018-06-03
6019,93,68.31600913278336,2018-06-10
6020,140,106.44246664030274,2018-06-17
6021,125,166.4357652792345,2018-06-24
6022,113,131.1236046465149,2018-07-01
6023,86,94.54463520912265,2018-07-08
6024,134,73.48500912918851,2018-07-15
6025,125,143.87232233164985,2018-07-22
6026,145,161.12836714147036,2018-07-29
6027,150,149.68243245050547,2018-08-05
6028,133,125.33961278007067,2018-08-12
